131028,262,402,213.3
131029,264,391,213.5
131030,262,429,212.6
131031,264,384,215.5
131101,262,417,213.9
131104,234,383,215.6
131104,232,410,213.9
131106,234,387,214.9
131107,232,384,213.6
131108,232,383,212
131111,314,407,210.3
131112,314,407,211
131113,314,370,211.7
131114,314,413,208.7
131115,314,447,210
131118,386,451,214.7
131119,386,403,219.8
131120,388,396,220.1
131121,386,409,219.7
131122,388,380,220.6
131125,312,398,218.6
131126,312,397,218.4
131127,312,423,218.1
131128,312,417,220.4
131129,314,382,222.1
131202,280,393,220.3
121203,280,423,219.6
131204,280,433,221.9
131205,282,390,225.2
131206,282,399,224.2
131209,174,398,224.1
131210,174,389,223.9
131211,174,371,222.8
131212,172,389,219.9
131213,172,409,218.8
131216,336,364,219.7
131217,336,389,216.1
131218,336,403,215
131219,336,375,215.3
131220,336,361,212.8
131223,258,405,208.9
131224,258,401,209.4
131225,258,407,209.5
131226,258,372,210.2
131227,258,423,207.4
131230,258,418,209.7
131231,258,394,211.5
140102,258,374,210.9
140103,258,362,208.3
140106,328,402,204.5
140107,328,397,204.7
140108,328,383,204.4
140109,328,386,202.7
140110,328,396,201.3
140113,282,417,200.9
140114,284,397,202.6
140115,282,400,202.3
140116,282,381,202.3
140117,282,387,200.4
140120,300,417,199.1
140121,300,443,200.8
140122,300,391,205.1
140123,300,412,204.2
140124,300,379,205.4
140127,236,416,203.3
140128,236,384,204.9
140129,236,400,203.3
140130,236,411,203.3
140207,238,442,204.4
140210,298,417,208.6
140211,300,406,210.3
140212,300,389,210.9
140213,300,417,209.8
140214,300,420,211.5
140217,256,384,213.5
140218,256,423,211.9
140219,258,396,214.2
140220,256,375,213.8
140221,256,363,211.3
140224,354,358,207.6
140225,354,407,203.4
140226,354,406,204.1
140227,354,409,204.7
140228,354,419,205.6
140303,318,396,207.5
140304,318,382,207.1
140305,316,406,205.3
140306,316,398,205.9
140307,316,342,205.7
140310,320,408,199.9
140311,320,384,200.7
140312,320,428,199.1
140313,322,395,201.9
140314,320,409,201.4
140317,360,402,202.3
140318,360,396,202.5
140319,358,372,202.1
140320,358,454,199.3
140321,360,419,204.7
140324,416,401,206.6
140325,416,396,206.7
140326,416,383,206.3
140327,414,395,204.6
140328,414,392,204.1
140331,230,414,203.3
140401,230,411,204.7
140402,232,385,205.8
140403,230,415,204.3
140404,232,440,205.8
140408,246,407,209.8
140409,246,429,210.5
140410,246,396,213.4
140411,246,401,213
140414,244,370,213.1
140415,242,404,210.1
140416,242,393,210.5
140417,242,399,209.8
140418,242,368,209.7
140421,284,407,206.5
140422,286,395,207.2
140423,284,390,206.7
140424,284,379,205.7
140425,284,367,203.6
140428,314,417,200.3
140429,316,406,202
140430,316,401,202.6
140505,284,401,202.7
140506,284,382,202.8
140507,282,405,201
140508,282,396,201.5
140509,282,441,201.1
140512,260,398,205.2
140513,260,397,205
140514,260,377,204.7
140515,258,402,202.4
140519,260,379,202.6
140520,176,403,200.5
140521,176,416,200.8
140521,178,397,202.4
140522,178,413,202.1
140523,178,407,203.4
140526,194,393,204.1
140527,194,416,203.4
140528,194,390,205
140529,194,399,204
140530,194,399,203.9
140603,392,386,203.8
140604,392,416,202.4
140605,394,389,204
140606,392,401,202.9
140609,526,422,203
140610,528,402,205.2
140611,528,397,205.4
